"a","b","c"
1.77,0.47,0.22
0.55,-3.21,0.17
0.77,-1.42,0.17
0.87,-2.26,0.15
0.88,-1.98,0.09
0.65,0.06,0.22
0.49,-0.47,0.04
0.72,-1.84,0.16
1.1,-0.18,0.26
1.6,-0.26,0.19
0.85,-0.13,0.16
0.56,-3.24,0.19
0.8,-1.65,0.18
1.1,0.3,0.17
1.03,-1.29,0.22
1.05,0.27,0.12
0.51,-2.1,0.15
1.04,-0.36,0.05
0.62,-1.47,0.09
0.54,-2.26,0.13
0.78,-0.43,0.11
0.49,-1.75,0.14
0.91,-0.19,0.2
1.21,0.12,0.1
0.57,-1.98,0.12
0.99,-0.13,0.22
1.49,-0.19,0.15
0.84,-0.43,0.16
0.87,0.42,0.14
0.58,-1.34,0.14
0.84,-0.39,0.16
0.79,-1,0.05
1.43,-0.17,0.07
0.74,-1.12,0.06
0.97,0.24,0.15
1.14,-0.14,0.13
0.46,-1.64,0.22
0.92,-0.31,0.22
0.52,-2.81,0.16
1.42,0.3,0.23
0.82,0.21,0.19
3.45,-0.16,0.35
1.31,-0.44,0.29
1.4,-0.33,0.22
1.04,-0.13,0.18
1.41,0.29,0.11
1.18,-0.27,0.17
0.74,-1.37,0.21
0.64,-1.93,0.1
0.59,-2.88,0.19
