"a","b","c"
0.77,1.49,0.1
1.18,1.23,0.14
0.76,1.24,0.16
0.9,0.4,0.21
0.71,-0.42,0.3
0.92,1.88,0.11
1.16,1.61,0.36
1.61,1.86,0.28
1.52,0.5,0.13
1.04,1.01,0.29
1.01,0.1,0.21
1.02,0.54,0.14
0.99,0.62,0.2
0.3,2.33,0.09
1.27,0.38,0.09
1.6,-0.26,0.19
1.03,1.09,0.16
2.4,1.87,0.14
1.18,0.68,0.23
1.57,1.82,0.26
1.03,0.2,0.32
1.38,1.04,0.16
1.35,0.22,0.06
0.96,0.49,0.26
1.06,0.54,0.12
0.03,4.16,0.1
0.77,1.27,0.26
0.5,1.13,0.18
1.23,0.67,0.12
0.68,1.32,0.12
0.97,0.61,0.16
0.88,0.66,0.14
1.25,0.48,0.16
0.96,0.67,0.07
0.4,0.13,0.06
1.07,0.6,0.33
1.12,-0.04,0.14
1.09,0.26,0.3
1.79,1.03,0.25
1.19,0.84,0.04
1.12,2.02,0.05
0.81,1.35,0.22
1.21,1.6,0.04
0.35,4.62,0.14
1.01,0.91,0.14
0.89,-0.17,0.04
0.77,0.35,0.27
0.88,0.26,0.13
1.51,0.51,0.2
1.11,0.31,0.11
